id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
71119,BNG-2013-2-X3374-2,2013,True,Clear,2,11123,10513,Supporters of Awami League - Supporters of Jamaat-e-Islami,11123,11123,Supporters of Awami League - Supporters of Jamaat-e-Islami,372,372,Supporters of Awami League,2765,2765,Supporters of Jamaat-e-Islami,1,"""Associated Press Newswires,2013-02-28,Bangladesh sentences Islamic party leader to death for crimes in 1971 war; 12 die in clashes""",Associated Press Newswires,2013-02-28,Bangladesh sentences Islamic party leader to death for crimes in 1971 war; 12 die in clashes,police,3,Rangpur District,Rangpur district,Rangpur Division,Rangpur District,25.600000,89.250000,POINT (89.250000 25.600000),166859,Bangladesh,771,Asia,1,1,02/28/2013 00:00:00,02/28/2013 00:00:00,0,0,0,2,2,2,0,
71137,BNG-2013-2-X3374-4,2013,True,Clear,2,11123,10513,Supporters of Awami League - Supporters of Jamaat-e-Islami,11123,11123,Supporters of Awami League - Supporters of Jamaat-e-Islami,372,372,Supporters of Awami League,2765,2765,Supporters of Jamaat-e-Islami,1,"""BBC Monitoring Newsfile,2013-03-01,Five policemen among 40 killed in Bangladesh clashes after death penalty verdict""",BBC Monitoring Newsfile,2013-03-01,Five policemen among 40 killed in Bangladesh clashes after death penalty verdict,New Age correspondent,1,Natore town,Natore town,Rajshahi Division,Natore District,24.416962,88.991636,POINT (88.991636 24.416962),164698,Bangladesh,771,Asia,1,1,02/28/2013 00:00:00,02/28/2013 00:00:00,1,0,0,0,1,1,1,
71138,BNG-2013-2-X3374-5,2013,True,Clear,2,11123,10513,Supporters of Awami League - Supporters of Jamaat-e-Islami,11123,11123,Supporters of Awami League - Supporters of Jamaat-e-Islami,372,372,Supporters of Awami League,2765,2765,Supporters of Jamaat-e-Islami,2,"""Agence France Presse,2013-03-01,New clashes over Bangladesh Islamist's death sentence"";""BBC Monitoring South Asia,2013-03-01,Bangladesh violence over war crime trials kills two""",Agence France Presse;BBC Monitoring South Asia,2013-03-01;2013-03-01,New clashes over Bangladesh Islamist's death sentence;Bangladesh violence over war crime trials kills two,police,3,Gaibandha District,Gaibandha district,Rangpur Division,Gaibandha District,25.250000,89.500000,POINT (89.500000 25.250000),166140,Bangladesh,771,Asia,1,1,03/01/2013 00:00:00,03/01/2013 00:00:00,0,0,0,1,1,1,1,
71141,BNG-2013-2-X3374-6,2013,True,Clear,2,11123,10513,Supporters of Awami League - Supporters of Jamaat-e-Islami,11123,11123,Supporters of Awami League - Supporters of Jamaat-e-Islami,372,372,Supporters of Awami League,2765,2765,Supporters of Jamaat-e-Islami,1,"""BBC Monitoring South Asia,2013-03-01,Bangladesh violence over war crime trials kills two""",BBC Monitoring South Asia,2013-03-01,Bangladesh violence over war crime trials kills two,not specified,2,Shibganj sub-district,Shibganj upazila,Rajshahi Division,Chapai Nawabganj District,24.685009,88.156380,POINT (88.156380 24.685009),165417,Bangladesh,771,Asia,1,1,03/01/2013 00:00:00,03/01/2013 00:00:00,0,0,0,1,1,1,1,
71160,BNG-2013-2-X3374-7,2013,True,Clear,2,11123,10513,Supporters of Awami League - Supporters of Jamaat-e-Islami,11123,11123,Supporters of Awami League - Supporters of Jamaat-e-Islami,372,372,Supporters of Awami League,2765,2765,Supporters of Jamaat-e-Islami,1,"""BBC Monitoring Newsfile,2013-03-03,Clashes continue in Bangladesh""",BBC Monitoring Newsfile,2013-03-03,Clashes continue in Bangladesh,police,1,Sylhet town,Sylhet town (near Tapobon residential area),Sylhet Division,Sylhet District,24.899167,91.871944,POINT (91.871944 24.899167),165424,Bangladesh,771,Asia,1,1,03/02/2013 00:00:00,03/02/2013 00:00:00,1,0,0,0,1,1,0,
71169,BNG-2013-2-X3374-8,2013,True,Clear,2,11123,10513,Supporters of Awami League - Supporters of Jamaat-e-Islami,11123,11123,Supporters of Awami League - Supporters of Jamaat-e-Islami,372,372,Supporters of Awami League,2765,2765,Supporters of Jamaat-e-Islami,1,"""Agence France Presse,2013-03-03,Bangladesh deploys troops as protest toll mounts""",Agence France Presse,2013-03-03,Bangladesh deploys troops as protest toll mounts,police,1,Shahjāhanpur town,Shahjahanpur town,Barisāl Division,Bogra District,21.912800,90.736262,POINT (90.736262 21.912800),161102,Bangladesh,771,Asia,1,1,03/02/2013 00:00:00,03/02/2013 00:00:00,1,0,0,0,1,1,0,
71172,BNG-2013-3-771-26,2013,False,Clear,3,143,731,Government of Bangladesh - Civilians,143,1198,Government of Bangladesh - Civilians,143,143,Government of Bangladesh,9999,1,Civilians,4,"""Agence France Presse,2013-03-03,Bangladesh deploys troops as 16 killed in fresh protests"";""Associated Press Newswires,2013-03-03,Army sent into northern Bangladesh as more die in violence during nationwide shutdown"";""Reuters News,2013-03-03,REFILE-UPDATE 1-Bangladesh deploys army after more violence over tribunal"";""Human Rights Watch,2013-08-01,Blood on the Streets""",Agence France Presse;Associated Press Newswires;Reuters News;Human Rights Watch,2013-03-03;2013-03-03;2013-03-03;2013-08-01,Bangladesh deploys troops as 16 killed in fresh protests;Army sent into northern Bangladesh as more die in violence during nationwide shutdown;REFILE-UPDATE 1-Bangladesh deploys army after more violence over tribunal;Blood on the Streets,police,3,Bogra District,Bogra District,Rajshahi Division,Bogra District,24.827130,89.379250,POINT (89.379250 24.827130),165419,Bangladesh,771,Asia,1,1,03/03/2013 00:00:00,03/03/2013 00:00:00,0,0,6,0,6,8,0,
71189,BNG-2013-3-771-29,2013,False,Clear,3,143,731,Government of Bangladesh - Civilians,143,1198,Government of Bangladesh - Civilians,143,143,Government of Bangladesh,9999,1,Civilians,4,"""Agence France Presse,2013-03-04,Strike cripples Bangladesh as death toll rises to 80"";""Associated Press Newswires,2013-03-04,Islamic party activists clash with police during Bangladesh general strike, 3 more killed"";""BBC Monitoring Newsfile,2013-03-05,Four more die in Bangladesh violence over war crimes trial; toll rises to 17"";""Human Rights Watch,2013-08-01,Blood on the Streets""",Agence France Presse;Associated Press Newswires;BBC Monitoring Newsfile;Human Rights Watch,2013-03-04;2013-03-04;2013-03-05;2013-08-01,"Strike cripples Bangladesh as death toll rises to 80;Islamic party activists clash with police during Bangladesh general strike, 3 more killed;Four more die in Bangladesh violence over war crimes trial; toll rises to 17;Blood on the Streets",not specified,1,Ullāpāra town,Ullapara town ,Rajshahi Division,Sirajganj District,24.312766,89.570112,POINT (89.570112 24.312766),164700,Bangladesh,771,Asia,1,1,03/04/2013 00:00:00,03/04/2013 00:00:00,0,0,1,0,1,1,1,
71222,BNG-2013-2-X3374-9,2013,True,Clear,2,11123,10513,Supporters of Awami League - Supporters of Jamaat-e-Islami,11123,11123,Supporters of Awami League - Supporters of Jamaat-e-Islami,372,372,Supporters of Awami League,2765,2765,Supporters of Jamaat-e-Islami,1,"""Agence France Presse,2013-03-07,Clashes kill one as strike hits Bangladesh""",Agence France Presse,2013-03-07,Clashes kill one as strike hits Bangladesh,police,1,Bholāhāt town,Bholarhat town,Rajshahi Division,Chapai Nawabganj District,24.953014,88.195708,POINT (88.195708 24.953014),165417,Bangladesh,771,Asia,1,1,03/07/2013 00:00:00,03/07/2013 00:00:00,1,0,0,0,1,1,1,
71225,BNG-2013-2-29-0,2013,False,Clear,2,5201,4591,Supporters of Awami League - Supporters of BNP,5201,5201,Supporters of Awami League - Supporters of BNP,372,372,Supporters of Awami League,374,374,Supporters of BNP,2,"""Agence France Presse,2013-03-19,One killed during violent Bangladesh strike"";""Associated Press Newswires,2013-03-19,1 dead as rival political groups clash during opposition shutdown in Bangladesh""",Agence France Presse;Associated Press Newswires,2013-03-19;2013-03-19,One killed during violent Bangladesh strike;1 dead as rival political groups clash during opposition shutdown in Bangladesh,police,1,Gopalpur town,Gopalpur town,Dhaka Division,Tangail District,24.561845,89.927399,POINT (89.927399 24.561845),165420,Bangladesh,771,Asia,1,1,03/19/2013 00:00:00,03/19/2013 00:00:00,1,0,0,0,1,1,1,
71229,BNG-2013-2-29-1,2013,False,Clear,2,5201,4591,Supporters of Awami League - Supporters of BNP,5201,5201,Supporters of Awami League - Supporters of BNP,372,372,Supporters of Awami League,374,374,Supporters of BNP,1,"""BBC Monitoring South Asia,2013-03-26,One killed, 100 injured in clashes between Bangladesh party activists""",BBC Monitoring South Asia,2013-03-26,"One killed, 100 injured in clashes between Bangladesh party activists",Daily Star correspondent,2,Sarishābāri sub-district,Sarishabari sub-district (Aramnagar Bazar),Dhaka Division,Jamālpur District,24.764700,89.840535,POINT (89.840535 24.764700),165420,Bangladesh,771,Asia,1,1,03/26/2013 00:00:00,03/26/2013 00:00:00,0,0,1,0,1,1,1,
71266,BNG-2013-2-X3374-10,2013,True,Clear,2,11123,10513,Supporters of Awami League - Supporters of Jamaat-e-Islami,11123,11123,Supporters of Awami League - Supporters of Jamaat-e-Islami,372,372,Supporters of Awami League,2765,2765,Supporters of Jamaat-e-Islami,1,"""Agence France Presse,2013-04-11,Four killed as Bangladesh arrests pro-opposition editor""",Agence France Presse,2013-04-11,Four killed as Bangladesh arrests pro-opposition editor,police,1,Bhozpur town,Buzpur town ,Chittagong Division,Chittagong District,22.742284,91.750834,POINT (91.750834 22.742284),162544,Bangladesh,771,Asia,1,1,04/11/2013 00:00:00,04/11/2013 00:00:00,3,0,0,0,3,3,3,
71270,BNG-2013-2-X3374-11,2013,True,Clear,2,11123,10513,Supporters of Awami League - Supporters of Jamaat-e-Islami,11123,11123,Supporters of Awami League - Supporters of Jamaat-e-Islami,372,372,Supporters of Awami League,2765,2765,Supporters of Jamaat-e-Islami,1,"""BBC Monitoring South Asia,2013-04-29,Three dead as Bangladesh Islamists attack ruling party workers""",BBC Monitoring South Asia,2013-04-29,Three dead as Bangladesh Islamists attack ruling party workers,"police, locals",2,Shibganj sub-district,Shibganj upazila (Umarpur village),Rajshahi Division,Chapai Nawabganj District,24.685009,88.156380,POINT (88.156380 24.685009),165417,Bangladesh,771,Asia,1,1,04/28/2013 00:00:00,04/28/2013 00:00:00,2,1,0,0,3,3,3,
71324,BNG-2013-2-X3374-12,2013,True,Clear,2,11123,10513,Supporters of Awami League - Supporters of Jamaat-e-Islami,11123,11123,Supporters of Awami League - Supporters of Jamaat-e-Islami,372,372,Supporters of Awami League,2765,2765,Supporters of Jamaat-e-Islami,1,"""BBC Monitoring South Asia,2013-07-16,Bangladesh: Two Islamist party workers killed after war crimes verdict""",BBC Monitoring South Asia,2013-07-16,Bangladesh: Two Islamist party workers killed after war crimes verdict,"police, Jamaat-i-Islami",2,Mirpur sub-District,Mirpur sub-district (Kushtia-Chuadanga road in),Khulna Division,Kushtia District,23.928333,88.991667,POINT (88.991667 23.928333),163978,Bangladesh,771,Asia,1,1,07/15/2013 00:00:00,07/15/2013 00:00:00,0,0,0,0,0,2,0,
