id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
6750,EGY-1993-1-241-13,1993,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"IHT, 1993-03-30, ""As Attacks Mount, Egypt Foils a Bombing",,,,police,1,Cairo city,Cairo city,Cairo governorate,,30.050000,31.250000,POINT (31.250000 30.050000),173223,Egypt,651,Middle East,1,1,03/27/1993 00:00:00,03/27/1993 00:00:00,0,0,0,0,0,1,0,
6751,EGY-1995-1-241-19,1995,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"NY Times, 1995-04-03, ""Mubarak's Challenge",,,,police,5,Southern Egypt,Southern Egypt,,,23.083333,32.666667,POINT (32.666667 23.083333),163146,Egypt,651,Middle East,1,1,03/30/1995 00:00:00,03/30/1995 00:00:00,0,5,0,0,5,5,5,
6761,EGY-1996-1-241-38,1996,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"Reuters, 1996-10-16, ""Five dead in Egypt as police, militants clash.",,,,security sources,1,Nazlet el Badraman village,Nazlet el Badraman village,Al Minya governorate,,27.666667,30.733333,POINT (30.733333 27.666667),169622,Egypt,651,Middle East,1,1,10/16/1996 00:00:00,10/16/1996 00:00:00,1,4,0,0,5,5,5,
6762,EGY-1995-1-241-9,1995,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"IHT, 1995-01-28/29, ""Gunmen kill 6 policemen in Egypt",,,,security sources,4,Al Minya governorate,El Minya governorate,Al Minya governorate,,28.433333,30.700000,POINT (30.700000 28.433333),170342,Egypt,651,Middle East,1,1,01/27/1995 00:00:00,01/27/1995 00:00:00,0,4,0,0,4,4,4,
6797,EGY-1997-1-241-17.3,1997,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"Reuters, 1997-10-13, ""Suspected militants kill 11 police in Egypt.",,,,security sources,4,Al Minya governorate,Rawdah village (near),Al Minya governorate,,28.433333,30.700000,POINT (30.700000 28.433333),170342,Egypt,651,Middle East,1,1,10/13/1997 00:00:00,10/13/1997 00:00:00,3,0,0,0,3,3,3,
6815,EGY-1995-1-241-13,1995,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"Toronto Star, 1995-01-29, ""14 militants, 4 others die in Egyptian shootouts",,,,security sources,1,Nag Hamadi town,Nag Hamadi town,Qena governorate,,26.051389,32.238611,POINT (32.238611 26.051389),167465,Egypt,651,Middle East,1,1,01/28/1995 00:00:00,01/28/1995 00:00:00,2,0,2,0,4,4,4,
6841,EGY-1995-1-241-68,1995,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"Reuters, 1995-11-01, ""Suspected Moslem militants kill Egyptian guards.",,,,police,1,Ibshadat town,Abshadat village (near Mallawi town),Al Minya governorate,,27.843056,30.740278,POINT (30.740278 27.843056),169622,Egypt,651,Middle East,1,1,11/01/1995 00:00:00,11/01/1995 00:00:00,2,0,0,0,2,2,2,
6844,EGY-1994-1-241-41,1994,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"NY Times, 1994-09-18, ""5 on U.N. Aid Mission in Egypt Are Killed; Militants Suspected",,,,"police, UN",1,Khuzam town,Khuzam town (village),Qena governorate,,25.766667,32.766667,POINT (32.766667 25.766667),166746,Egypt,651,Middle East,1,1,09/17/1994 00:00:00,09/17/1994 00:00:00,4,0,0,1,5,5,5,
6867,EGY-1995-1-241-77,1995,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"Reuters, 1995-12-20, ""Egypt police shoot dead two militants in south.",,,,police,1,Hulwah town,Hulwah town (village),Al Minya governorate,,28.450000,30.666667,POINT (30.666667 28.450000),170342,Egypt,651,Middle East,1,1,12/20/1995 00:00:00,12/20/1995 00:00:00,0,2,0,0,2,2,2,
6868,EGY-1995-1-241-28,1995,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"Reuters, 1995-05-30, ""Three killed in shootout in south Egypt.",,,,police,1,Houd al-Muthallath hamlet,"Houd al-Muthallath hamlet (near Mallawi town, in the Nile valley about 250 km (160 miles) south of Cairo)",Al Minya governorate,,27.800000,30.833333,POINT (30.833333 27.800000),169622,Egypt,651,Middle East,1,1,05/30/1995 00:00:00,05/30/1995 00:00:00,1,2,0,0,3,3,3,
