id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
115547,IRN-2001-1-246-18,2001,True,Clear,1,338,338,Iran: Government,753,753,Government of Iran - MEK,114,114,Government of Iran,308,308,MEK,-1,r 19/6,,,,MKO,1,Tehran city,"Tehran, Iran Pounak region of the capital Tehran ",Tehran province,Tehran county,35.696111,51.423056,POINT (51.423056 35.696111),181183,Iran,630,Middle East,1,2,06/17/2001 00:00:00,06/18/2001 00:00:00,0,2,0,0,2,2,2,
115551,IRN-2007-1-459-17,2007,True,Clear,1,338,338,Iran: Government,754,754,Government of Iran - PJAK,114,114,Government of Iran,309,309,PJAK,-1,"Dow Jones International News 2007-11-08 ""Iranian Security Forces Kill Three Kurdish Rebels - AFP",,,,,3,Kamyaran County,"Northwestern Iran, Kamyaran county, Kordestan province,",Kordestan province,Kamyaran County,34.916667,46.916667,POINT (46.916667 34.916667),179734,Iran,630,Middle East,1,2,11/03/2007 00:00:00,11/08/2007 00:00:00,0,3,0,0,3,3,3,
115554,IRN-2008-1-459-11,2008,True,Clear,1,338,338,Iran: Government,754,754,Government of Iran - PJAK,114,114,Government of Iran,309,309,PJAK,-1,"BBC Monitoring Middle East 2008-10-10 ""Iran provincial police says 154 ""villains"" killed in 227 clashes in six months",,,,,4,Razavi Khorasan province,northeastern province of Khorasan-Razavi,Razavi Khorasan province,,36.298000,59.605700,POINT (59.605700 36.298000),181920,Iran,630,Middle East,2,5,03/20/2008 00:00:00,09/20/2008 00:00:00,0,0,0,0,0,136,0,
115556,IRN-2009-1-459-2,2009,True,Clear,1,338,338,Iran: Government,754,754,Government of Iran - PJAK,114,114,Government of Iran,309,309,PJAK,-1,"Xinhua, 2009-04-25, 11 Iranian police officers killed in western provinces: report",,,,local media,2,Sanadaj town,"Sanandaj (outskirts), Kordestan province",Kordestan province,Sanandaj county,35.314444,46.992222,POINT (46.992222 35.314444),180454,Iran,630,Middle East,1,1,04/25/2009 00:00:00,04/25/2009 00:00:00,1,0,0,0,1,1,1,
115559,IRN-2009-1-459-3,2009,True,Clear,1,338,338,Iran: Government,754,754,Government of Iran - PJAK,114,114,Government of Iran,309,309,PJAK,-1,"Reuters, 2009-05-13, Clash in Iranian border area kills eight - report",,,,,4,West Azarbaijan province,West Azerbaijan province (border areas of),West Azarbaijan province,,37.552800,45.075900,POINT (45.075900 37.552800),184051,Iran,630,Middle East,1,3,05/07/2009 00:00:00,05/13/2009 00:00:00,3,5,0,0,8,8,8,
115562,IRN-2009-1-640-1,2009,True,Clear,1,338,338,Iran: Government,755,755,Government of Iran - Jondullah,114,114,Government of Iran,310,310,Jondullah,-1,"AFP, 2009-01-27, Rebels kill 12 Iranian security forces: judiciary",,,,judiciary spokesman,1,Saravan town,"Saravan town, Sistan-Baluchestan province, near the border with Pakistan",Sistan and Baluchestan province,Saravan county,27.370833,62.334167,POINT (62.334167 27.370833),168965,Iran,630,Middle East,1,1,01/26/2009 00:00:00,01/26/2009 00:00:00,12,0,0,0,12,12,12,
115563,IRN-2009-1-640-2,2009,True,Clear,1,338,338,Iran: Government,755,755,Government of Iran - Jondullah,114,114,Government of Iran,310,310,Jondullah,-1,"Reuters, 2009-02-14, Blast kills four Iranian police near Pakistan",,,,state radio,1,Saravan town,Saravan town,Sistan and Baluchestan province,Saravan county,27.370833,62.334167,POINT (62.334167 27.370833),168965,Iran,630,Middle East,1,1,02/12/2009 00:00:00,02/12/2009 00:00:00,4,0,0,0,4,4,4,
115565,IRN-2009-1-640-3,2009,True,Clear,1,338,338,Iran: Government,755,755,Government of Iran - Jondullah,114,114,Government of Iran,310,310,Jondullah,-1,"Xinhua, 2009-04-22, Four border police killed, wounded in southeastern Iran: report",,,,police,3,Sarbaz county,"Between Sarbaz town and Azadeghan outpost, Sistan-Balouchestan province",Sistan and Baluchestan province,Sarbaz county,26.433333,61.483333,POINT (61.483333 26.433333),167523,Iran,630,Middle East,1,1,04/22/2009 00:00:00,04/22/2009 00:00:00,2,0,0,0,2,2,2,
115569,IRN-2009-1-640-4,2009,True,Clear,1,338,338,Iran: Government,755,755,Government of Iran - Jondullah,114,114,Government of Iran,310,310,Jondullah,-1,"AFP, 2009-06-06, Iran hangs two convicted rebels in restive southeast: report",,,,local police commander,4,Sistan and Baluchestan province,"Between Zahedan and Bam, Kerman province",Sistan and Baluchestan province,,29.492400,60.866900,POINT (60.866900 29.492400),171842,Iran,630,Middle East,1,1,06/04/2009 00:00:00,06/04/2009 00:00:00,0,4,0,0,4,4,4,
115575,IRN-1993-1-246-10,1993,True,Clear,1,338,338,Iran: Government,753,753,Government of Iran - MEK,114,114,Government of Iran,308,308,MEK,-1,r 17/6,,,,Iran government,5,road between Mehran and Dehloran,on the road from Mehran to Dehloran,Ilam province,,32.918742,46.690288,POINT (46.690288 32.918742),176854,Iran,630,Middle East,1,2,05/12/1993 00:00:00,05/15/1993 00:00:00,8,0,1,0,9,9,9,
