id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
20641,SOM-2009-2-10-10,2009,True,Clear,2,5183,4573,Ahlu Sunna Waljamaca - Al-Shabaab,5183,5183,Ahlu Sunna Waljamaca - Al-Shabaab,894,894,Ahlu Sunna Waljamaca,717,717,Al-Shabaab,-1,"R 2009-03-15; Somali Radio Simba website on 15 March, in BBC Mon 2009-03-15; Shabelle Media Network/All Africa Global Media via COMTEX, in All Africa 2009-03-15",,,,residents; Ahlu Sunna Waljamaca spokesman; witnesses,1,Wabxo town,Wabxo town,Galgudud region,El Bur district,4.516667,46.283333,POINT (46.283333 4.516667),136533,Somalia,520,Africa,1,2,03/14/2009 00:00:00,03/15/2009 00:00:00,0,0,1,8,9,9,9,
20642,SOM-2009-2-10-17,2009,True,Clear,2,5183,4573,Ahlu Sunna Waljamaca - Al-Shabaab,5183,5183,Ahlu Sunna Waljamaca - Al-Shabaab,894,894,Ahlu Sunna Waljamaca,717,717,Al-Shabaab,-1,"Shabelle Media Network/All Africa Global Media via COMTEX, in All Africa 2009-05-14",,,,ICU,3,Bulo Burti district,Yasoman village (about 50 km east of Bulobarde town),Hiran region,Bulo Burti district,3.850000,45.566667,POINT (45.566667 3.850000),135092,Somalia,520,Africa,1,1,05/14/2009 00:00:00,05/14/2009 00:00:00,0,0,0,1,1,1,1,
20644,SOM-2008-1-632-24,2008,True,Clear,1,337,337,Somalia: Government,749,749,Government of Somalia - ARS/UIC,95,95,Government of Somalia,505,505,ARS/UIC,-1,"X 2008-12-11; Shabelle, All Africa 2008-12-11",,,,"witnesses; hospital sources; Islamic Courts Union spokesman, Sheik Abdirahim Isse Adow",1,Mogadishu city,Mogadishu city,Banaadir region,Mogadishu district,2.066667,45.366667,POINT (45.366667 2.066667),132931,Somalia,520,Africa,1,1,12/11/2008 00:00:00,12/11/2008 00:00:00,0,0,0,14,14,14,14,
20647,SOM-2009-1-770-23,2009,True,Clear,1,337,337,Somalia: Government,750,750,Government of Somalia - Al-Shabaab,95,95,Government of Somalia,717,717,Al-Shabaab,-1,X 2009-02-25; R 2009-02-25,,,,local elder,1,Hudur town,Xuddur town,Bakool region,Hudur district,4.116667,43.900000,POINT (43.900000 4.116667),135808,Somalia,520,Africa,1,1,02/25/2009 00:00:00,02/25/2009 00:00:00,0,0,0,18,18,18,18,
20648,SOM-2007-1-632-180,2007,True,Clear,1,337,337,Somalia: Government,749,749,Government of Somalia - ARS/UIC,95,95,Government of Somalia,505,505,ARS/UIC,-1,BBC 5/18/2007,,,,Somali HornAfrik Online text website on 18 May,1,Mogadishu city,Mogadishu city,Banaadir region,Mogadishu district,2.066667,45.366667,POINT (45.366667 2.066667),132931,Somalia,520,Africa,1,1,05/18/2007 00:00:00,05/18/2007 00:00:00,1,0,0,0,1,1,1,
21006,SOM-2010-2-428-2,2010,True,Clear,2,5557,4947,Ahlu Sunna Waljamaca - Hizbul Islam,5557,5557,Ahlu Sunna Waljamaca - Hizbul Islam,894,894,Ahlu Sunna Waljamaca,1004,1004,Hizbul Islam,-1,"Radio Banaadir, Mogadishu, in Somali 1700 gmt 10 Jan 10 (BBC Monitoring Africa 10 January 2010 ""Somalia: Five killed, fighting over central district said continuing"") // Garoweonline.com in English 10 Jan 10 (BBC Monitoring Africa 11 January 2010 ""Somali Rival Islamist groups fight over key central town"") // Reuters 11 January 2010 ""Somali rebels and pro-govt militia clash, 13 dead",,,,People from both sides,1,Belet Weyne town,Beledweyne town,Hiran region,Belet Weyne district,4.735833,45.203611,POINT (45.203611 4.735833),136531,Somalia,520,Africa,1,1,01/10/2010 00:00:00,01/10/2010 00:00:00,0,0,0,13,13,13,13,
21007,SOM-2009-2-350-5,2009,True,Clear,2,5488,4878,Al-Shabaab - Hizbul Islam,5488,5488,Al-Shabaab - Hizbul Islam,717,717,Al-Shabaab,1004,1004,Hizbul Islam,-1,Radio Gaalkacyo on 4 October in BBC Mon 2009-10-04; Garowe Online/All Africa Global Media via COMTEX 2009-10-05,,,,eyewitness,3,Kismayo district,Kismaayo district (Janaa Abdalle and Buulo Guduud localities /outskirts of Kismayo),Lower Juba region,Kismayo district,-0.358173,42.545365,POINT (42.545365 -0.358173),129326,Somalia,520,Africa,1,2,10/03/2009 00:00:00,10/04/2009 00:00:00,0,0,0,2,2,2,2,
24920,SOM-2007-1-632-169,2007,True,Clear,1,337,337,Somalia: Government,749,749,Government of Somalia - ARS/UIC,95,95,Government of Somalia,505,505,ARS/UIC,-1,AP 4/14/2007,,,,witnesses,1,Mogadishu city,Mogadishu city,Banaadir region,Mogadishu district,2.066667,45.366667,POINT (45.366667 2.066667),132931,Somalia,520,Africa,1,1,04/14/2007 00:00:00,04/14/2007 00:00:00,2,0,0,0,2,2,2,
24926,SOM-2010-1-770-21,2010,True,Clear,1,337,337,Somalia: Government,750,750,Government of Somalia - Al-Shabaab,95,95,Government of Somalia,717,717,Al-Shabaab,-1,"AllAfrica 2 April 2010 ""Mortars kill civilians in Mogadishu",,,,witnesses,1,Mogadishu city,Mogadishu city (Karaan district),Banaadir region,Mogadishu district,2.066667,45.366667,POINT (45.366667 2.066667),132931,Somalia,520,Africa,1,1,04/01/2010 00:00:00,04/01/2010 00:00:00,0,0,2,0,2,2,2,
24933,SOM-1990-1-207-13,1990,True,Clear,1,337,337,Somalia: Government,744,744,Government of Somalia - SNM,95,95,Government of Somalia,500,500,SNM,-1,"African Defence, May 1990",,,,SNM sources,3,Hargeysa district,Hargeysa district (Hargeisa-Shiikh main road),Woqooyi Galbeed region,Hargeysa district,9.560000,44.065000,POINT (44.065000 9.560000),143729,Somalia,520,Africa,1,1,03/30/1990 00:00:00,03/30/1990 00:00:00,50,0,0,0,50,50,0,
